ProductKey,OrderDate,OrderDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
482,8/15/2020,20200815,11346,7,SO52577,6,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248
214,8/27/2020,20200827,14851,7,SO53195,6,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
467,10/6/2020,20201006,11241,7,SO55623,6,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
463,11/29/2020,20201129,13806,7,SO58787,6,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
477,11/30/2020,20201130,20046,7,SO58845,6,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
217,11/30/2020,20201130,20046,7,SO58845,7,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
237,11/30/2020,20201130,20046,7,SO58845,8,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
234,12/21/2020,20201221,22501,7,SO60466,6,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
225,2/20/2021,20210220,11241,7,SO64592,6,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
225,4/20/2021,20210420,15463,7,SO68630,6,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
465,5/22/2021,20210522,23958,7,SO71145,6,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
490,5/26/2021,20210526,17801,7,SO71388,6,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
465,5/28/2021,20210528,16551,7,SO71504,6,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
234,6/25/2021,20210625,14719,7,SO73780,6,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
225,7/4/2020,20200704,11402,7,SO51228,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
225,7/5/2020,20200705,11433,7,SO51259,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
214,7/21/2020,20200721,19475,7,SO51502,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
489,7/22/2020,20200722,11403,7,SO51512,5,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
484,7/28/2020,20200728,22445,7,SO51623,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
488,8/8/2020,20200808,14704,7,SO52248,5,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
225,8/8/2020,20200808,21059,7,SO52276,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
225,8/13/2020,20200813,11406,7,SO52469,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
228,8/15/2020,20200815,11346,7,SO52577,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
483,8/17/2020,20200817,11425,7,SO52671,5,1,120,120,0,0,44.88,44.88,120,9.6,3
217,8/17/2020,20200817,12132,7,SO52725,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
214,8/18/2020,20200818,21031,7,SO52772,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
484,8/26/2020,20200826,11479,7,SO53134,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
225,8/27/2020,20200827,14851,7,SO53195,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
467,8/29/2020,20200829,24551,7,SO53316,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
234,9/4/2020,20200904,26898,7,SO53815,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
214,9/9/2020,20200909,11572,7,SO54040,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
465,9/18/2020,20200918,16295,7,SO54561,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
225,9/19/2020,20200919,12323,7,SO54602,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
490,10/6/2020,20201006,11241,7,SO55623,5,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
