ProductKey,OrderDate,OrderDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
529,9/4/2020,20200904,27794,10,SO53812,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998
538,9/4/2020,20200904,27794,10,SO53812,2,1,21.49,21.49,0,0,8.0373,8.0373,21.49,1.7192,0.5373
529,1/5/2021,20210105,28570,10,SO61512,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998
472,1/5/2021,20210105,28570,10,SO61512,2,1,63.5,63.5,0,0,23.749,23.749,63.5,5.08,1.5875
529,1/19/2021,20210119,27007,10,SO62364,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998
539,1/19/2021,20210119,27007,10,SO62364,2,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248
217,1/19/2021,20210119,27007,10,SO62364,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
231,1/19/2021,20210119,27007,10,SO62364,4,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
536,6/29/2021,20210629,28759,10,SO74057,1,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498
528,6/29/2021,20210629,28759,10,SO74057,2,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
217,6/29/2021,20210629,28759,10,SO74057,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
529,7/2/2021,20210702,14533,10,SO74207,1,1,3.99,3.99,0,0,1.4923,1.4923,3.99,0.3192,0.0998
540,7/2/2021,20210702,14533,10,SO74207,2,1,32.6,32.6,0,0,12.1924,12.1924,32.6,2.608,0.815
487,7/2/2021,20210702,14533,10,SO74207,3,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748
536,7/2/2021,20210702,24533,10,SO74208,1,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498
480,7/2/2021,20210702,24533,10,SO74208,2,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
530,7/2/2021,20210702,17706,10,SO74211,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
222,7/2/2021,20210702,17706,10,SO74211,2,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
528,7/3/2021,20210703,16321,10,SO74236,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
480,7/3/2021,20210703,16321,10,SO74236,2,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
528,7/3/2021,20210703,15444,10,SO74237,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
537,7/3/2021,20210703,15444,10,SO74237,2,1,35,35,0,0,13.09,13.09,35,2.8,0.875
222,7/3/2021,20210703,15444,10,SO74237,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
225,7/3/2021,20210703,15444,10,SO74237,4,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
537,7/3/2021,20210703,14988,10,SO74238,1,1,35,35,0,0,13.09,13.09,35,2.8,0.875
539,7/3/2021,20210703,13804,10,SO74240,1,1,24.99,24.99,0,0,9.3463,9.3463,24.99,1.9992,0.6248
480,7/3/2021,20210703,13804,10,SO74240,2,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
528,7/3/2021,20210703,20904,10,SO74242,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
536,7/3/2021,20210703,20904,10,SO74242,2,1,29.99,29.99,0,0,11.2163,11.2163,29.99,2.3992,0.7498
222,7/3/2021,20210703,20904,10,SO74242,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
541,7/3/2021,20210703,12740,10,SO74244,1,1,28.99,28.99,0,0,10.8423,10.8423,28.99,2.3192,0.7248
530,7/3/2021,20210703,12740,10,SO74244,2,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
217,7/3/2021,20210703,12740,10,SO74244,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
