ProductKey,OrderDate,OrderDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
312,2/1/2019,20190201,28648,6,SO45346,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
310,2/2/2019,20190202,28630,6,SO45353,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
312,2/2/2019,20190202,28778,6,SO45355,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
313,2/3/2019,20190203,28036,6,SO45360,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
310,2/6/2019,20190206,28178,6,SO45378,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
313,2/6/2019,20190206,28363,6,SO45379,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
313,2/11/2019,20190211,28197,6,SO45411,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
312,2/11/2019,20190211,28092,6,SO45415,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
310,2/11/2019,20190211,28161,6,SO45416,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
310,2/11/2019,20190211,28620,6,SO45417,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
310,2/12/2019,20190212,28198,6,SO45422,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
311,2/12/2019,20190212,28165,6,SO45424,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
310,2/13/2019,20190213,28129,6,SO45429,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
312,2/13/2019,20190213,28176,6,SO45430,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
311,2/13/2019,20190213,28013,6,SO45431,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
312,2/14/2019,20190214,28130,6,SO45436,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
312,2/14/2019,20190214,28169,6,SO45437,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568
