ProductKey,OrderDate,OrderDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
489,8/4/2020,20200804,11325,1,SO52058,6,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
225,9/18/2020,20200918,24734,1,SO54583,6,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
480,9/22/2020,20200922,23696,1,SO54784,6,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
486,9/22/2020,20200922,23696,1,SO54784,7,1,159,159,0,0,59.466,59.466,159,12.72,3.975
482,9/28/2020,20200928,15827,1,SO55128,6,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248
463,1/10/2021,20210110,12198,1,SO61837,6,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
484,3/4/2021,20210304,16067,1,SO65540,6,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
486,3/14/2021,20210314,16004,1,SO66188,6,1,159,159,0,0,59.466,59.466,159,12.72,3.975
477,5/15/2021,20210515,13397,1,SO70638,6,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
473,5/26/2021,20210526,11254,1,SO71400,6,1,63.5,63.5,0,0,23.749,23.749,63.5,5.08,1.5875
222,6/14/2021,20210614,26299,1,SO72927,6,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
231,6/14/2021,20210614,26299,1,SO72927,7,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
478,6/17/2021,20210617,18515,1,SO73156,6,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498
467,6/22/2021,20210622,18905,1,SO73555,6,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
222,7/7/2021,20210707,23020,1,SO74349,6,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
473,7/6/2020,20200706,11282,1,SO51264,5,1,63.5,63.5,0,0,23.749,23.749,63.5,5.08,1.5875
225,7/16/2020,20200716,11063,1,SO51431,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
487,8/4/2020,20200804,11325,1,SO52058,5,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748
477,8/8/2020,20200808,11529,1,SO52267,5,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
482,8/9/2020,20200809,11189,1,SO52321,5,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248
222,8/15/2020,20200815,13884,1,SO52609,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
228,8/16/2020,20200816,21574,1,SO52632,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
467,8/21/2020,20200821,24429,1,SO52896,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
225,9/1/2020,20200901,23473,1,SO53633,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
222,9/3/2020,20200903,12142,1,SO53760,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
488,9/4/2020,20200904,11673,1,SO53818,5,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
477,9/5/2020,20200905,22742,1,SO53839,5,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
467,9/15/2020,20200915,16890,1,SO54416,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
482,9/16/2020,20200916,11535,1,SO54468,5,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248
234,9/18/2020,20200918,24734,1,SO54583,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
478,9/22/2020,20200922,23696,1,SO54784,5,1,9.99,9.99,0,0,3.7363,3.7363,9.99,0.7992,0.2498
237,9/28/2020,20200928,15827,1,SO55128,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
463,10/7/2020,20201007,23732,1,SO55698,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
487,10/10/2020,20201010,13102,1,SO55913,5,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748
484,10/14/2020,20201014,23002,1,SO56080,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
472,10/18/2020,20201018,16373,1,SO56314,5,1,63.5,63.5,0,0,23.749,23.749,63.5,5.08,1.5875
463,11/10/2020,20201110,13274,1,SO57729,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
484,11/13/2020,20201113,25192,1,SO57896,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
484,11/14/2020,20201114,14337,1,SO57938,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
484,11/22/2020,20201122,19143,1,SO58391,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
488,11/22/2020,20201122,13319,1,SO58398,5,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
486,11/28/2020,20201128,17144,1,SO58756,5,1,159,159,0,0,59.466,59.466,159,12.72,3.975
234,12/10/2020,20201210,17463,1,SO59756,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
222,12/12/2020,20201212,13898,1,SO59875,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
488,12/15/2020,20201215,13431,1,SO60098,5,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
225,12/17/2020,20201217,19689,1,SO60229,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
214,12/18/2020,20201218,13894,1,SO60290,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
228,12/21/2020,20201221,13468,1,SO60494,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
477,12/23/2020,20201223,11829,1,SO60601,5,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
486,12/24/2020,20201224,19657,1,SO60679,5,1,159,159,0,0,59.466,59.466,159,12.72,3.975
467,12/24/2020,20201224,17669,1,SO60692,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
484,12/25/2020,20201225,13977,1,SO60733,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
225,12/28/2020,20201228,19706,1,SO60926,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
228,12/28/2020,20201228,26606,1,SO60940,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
488,12/28/2020,20201228,23156,1,SO60945,5,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
485,12/29/2020,20201229,14240,1,SO61018,5,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495
231,12/30/2020,20201230,24632,1,SO61087,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
463,1/2/2021,20210102,14581,1,SO61357,5,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
237,1/2/2021,20210102,12041,1,SO61360,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
484,1/5/2021,20210105,18475,1,SO61534,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
487,1/10/2021,20210110,23475,1,SO61804,5,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748
214,1/10/2021,20210110,12198,1,SO61837,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
234,1/15/2021,20210115,23195,1,SO62150,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
225,1/18/2021,20210118,26719,1,SO62298,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
225,1/18/2021,20210118,27198,1,SO62302,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
484,1/19/2021,20210119,26041,1,SO62387,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
234,1/20/2021,20210120,12084,1,SO62445,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
225,1/28/2021,20210128,22360,1,SO62898,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
484,1/30/2021,20210130,29167,1,SO63049,5,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
222,2/13/2021,20210213,11128,1,SO64097,5,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
228,2/15/2021,20210215,20545,1,SO64212,5,1,49.99,49.99,0,0,38.4923,38.4923,49.99,3.9992,1.2498
225,2/15/2021,20210215,15167,1,SO64215,5,1,8.99,8.99,0,0,6.9223,6.9223,8.99,0.7192,0.2248
480,3/1/2021,20210301,15737,1,SO65372,5,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
483,3/2/2021,20210302,15944,1,SO65433,5,1,120,120,0,0,44.88,44.88,120,9.6,3
