ProductKey,OrderDate,OrderDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
528,9/29/2020,20200929,16115,4,SO55161,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/1/2020,20201001,15307,4,SO55352,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/5/2020,20201005,16003,4,SO55578,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/6/2020,20201006,15883,4,SO55635,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/8/2020,20201008,15368,4,SO55767,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/8/2020,20201008,15273,4,SO55770,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/8/2020,20201008,11499,4,SO55782,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/8/2020,20201008,12960,4,SO55786,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/10/2020,20201010,15875,4,SO55892,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/11/2020,20201011,16238,4,SO55943,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/11/2020,20201011,11695,4,SO55948,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/12/2020,20201012,23728,4,SO55985,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/13/2020,20201013,11694,4,SO56050,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/14/2020,20201014,26335,4,SO56076,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/14/2020,20201014,14399,4,SO56089,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/15/2020,20201015,11807,4,SO56167,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/16/2020,20201016,14903,4,SO56205,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/17/2020,20201017,16143,4,SO56247,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/19/2020,20201019,15344,4,SO56354,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/21/2020,20201021,14920,4,SO56458,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/23/2020,20201023,15305,4,SO56565,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
528,10/24/2020,20201024,15946,4,SO56624,1,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
