ProductKey,OrderDate,OrderDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
487,7/2/2021,20210702,16342,9,SO74190,3,1,54.99,54.99,0,0,20.5663,20.5663,54.99,4.3992,1.3748
484,7/2/2021,20210702,16342,9,SO74190,4,1,7.95,7.95,0,0,2.9733,2.9733,7.95,0.636,0.1988
467,7/3/2021,20210703,22978,9,SO74219,3,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
477,7/3/2021,20210703,28946,9,SO74223,3,1,4.99,4.99,0,0,1.8663,1.8663,4.99,0.3992,0.1248
222,7/4/2021,20210704,11051,9,SO74253,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
480,7/4/2021,20210704,16486,9,SO74260,3,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
473,7/5/2021,20210705,11115,9,SO74279,3,1,63.5,63.5,0,0,23.749,23.749,63.5,5.08,1.5875
485,7/6/2021,20210706,17237,9,SO74308,3,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495
488,7/6/2021,20210706,17237,9,SO74308,4,1,53.99,53.99,0,0,41.5723,41.5723,53.99,4.3192,1.3498
217,7/7/2021,20210707,19587,9,SO74340,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
465,7/7/2021,20210707,19587,9,SO74340,4,1,24.49,24.49,0,0,9.1593,9.1593,24.49,1.9592,0.6123
222,7/8/2021,20210708,15758,9,SO74365,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
485,7/8/2021,20210708,19651,9,SO74367,3,1,21.98,21.98,0,0,8.2205,8.2205,21.98,1.7584,0.5495
480,7/8/2021,20210708,19651,9,SO74367,4,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
480,7/9/2021,20210709,12690,9,SO74417,3,1,2.29,2.29,0,0,0.8565,0.8565,2.29,0.1832,0.0573
222,7/9/2021,20210709,28960,9,SO74419,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
481,7/9/2021,20210709,19953,9,SO74421,3,1,8.99,8.99,0,0,3.3623,3.3623,8.99,0.7192,0.2248
222,7/10/2021,20210710,25027,9,SO74442,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
217,7/10/2021,20210710,16488,9,SO74443,3,1,34.99,34.99,0,0,13.0863,13.0863,34.99,2.7992,0.8748
